place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용가능시설,시설이용료,접근로,출입통로,review,체험가능 연령,화장실,입장료,장애인 주차 안내,엘리베이터,유모차,수유실,휠체어,지정현황,주차요금,이용요금,주요시설,대중 교통,지체장애 기타 상세,판매 품목,관람석,점자 홍보물,오디오 가이드,주차 요금,객실수,예약안내,예약안내 홈페이지,청각 장애 기타상세,시각장애 기타상세,개장기간,규모,이용 시기,수용인원,영업시간,대표메뉴,취급메뉴,대여안내,보유장비,부대시설,보조견 동반,점자 블록,안내 요원,코스안내,할인 정보,수화 안내,자막 비디오 가이드,입실시간,퇴실시간,객실내 취사 여부,바비큐장여부,세미나실 여부,객실유형,입점브랜드,식음료장,객실,유도안내 설비,영유아가족 기타상세,체험
영종관광어시장,"영종도와 육지를 연결하던 유일한 선착장이었던 구읍뱃터에 자리하고 있는 영종관광어시장은 횟집들이 한 건물에 모여 있는 2층 규모의 건물형 시장으로 1층에서 싱싱한 회, 킹크랩, 어패류를 사서 2층에서 별도의 상차림 비용을 내고 먹을 수 있게 되어 있다. 수도권에서 바다를 보며 회를 먹을 수 있는 곳으로 시장 주변에 호텔들이 다수 있어서 관광객들이 회를 맛보기 위해 방문하고 있으며 소담한 규모이지만 알차기 때문에 많운 사람들이 방문하고 있다. 주차는 근처 공영주차장을 이용하는 것이 편리하다.",,,인천광역시 중구 은하수로 3 (중산동),※ 점포 별로 상이함,※ 점포 별로 상이함,가능,,,,,"구읍뱃터 바로 앞 생각보다 작은 ^^; 소규모 어시장이에요~ 길건너편에 공영주차장이 넓게 있어서 주말에도 주차 걱정은 없어서 좋았어요! 근데 어시장 들어서자마자 상인분들께서 호객행위를 많이 하셔서 부담스러워요... 거절을 잘 못하시는 분들은 미리 방문하실 곳을 검색해두고 가게로 직진 하시는걸 추천드립니다 ㅎㅎ 회 3종이랑 사이드메뉴(새우 낙지 전복 멍게 등) 같이 주문했고 관광지라 그런가 ...
더보기",,,,,,,,,,,,,,,활어 회 / 킹크랩 / 문어 / 새우 / 어패류 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신흥시장(인천),"인천광역시 중구 신흥 로터리 부근에 위치한 신흥시장은 1961년 문을 연 역사와 전통이 깊은 시장이다. 시장이 개설될 때부터 약 160여 개의 점포들이 모여 있었는데 지금까지 같은 장소에서 장사를 하며 시장을 지켜온 상인들이 많다. 신흥동과 선화동 일대 주민들이 주된 고객인 신흥시장은 농축산물과 가공식품, 잡화들이 주를 이루며 빵집과 떡집, 방앗간도 자리해 있다. 인천시의 중심이 동인천 지역이던 시절에 신흥시장은 과거 밤낮으로 사람들이 붐비는 으뜸 상권이었다. 현재는 특색 있는 전통시장 육성을 위한 프로젝트를 통해 컨설팅을 받고 낙후된 시설들을 리뉴얼하면서 점차 새롭게 태어나고 있다. 공영주차장을 개설하고 현대화 사업을 지속해 쇼핑 여건이 개선되면서 시장을 찾는 발걸음이 늘어나고 있다.",,https://itour.incheon.go.kr/,인천광역시 중구 선화동 30-5,※ 점포 별로 상이함,※ 점포 별로 상이함,가능,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,,,,,,,채소 / 청과 / 과일 / 수산물 / 의류 / 침구류 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신포국제시장,"인천 중구 신포동 일대의 신포시장은 19세기 말 이곳에 자리 잡은 일본인, 중국인, 서양인들을 상대로 고급 채소를 파는 곳에서부터 시작되었다고 한다. 카페리와 크루즈 선박을 통해 인천을 찾는 관광객과 국제상인 수가 매년 크게 증가함에 따라 국제여객터미널에서 가까운 거리에 있는 신포시장을 다국적 문화를 연계한 국제상인 시장으로 조성하였다. 또한 신포시장 내에 안내데스크와 셀프 오피스를 구성해 국제상인 지원센터를 만들어, 신포시장을 방문하는 국내외 소무역상 및 관광객들에게 무역정보, 쇼핑 및 관광안내 정보, 통역 등을 제공한다. 신포시장은 일제 강점기 때 소규모 점포들이 하나둘씩 모여들면서 명맥을 이어오다 지난 1970년 정식으로 시장등록이 됐으며 현재 140여 개 점포가 입주해 있다. 신포시장 내 유명 먹거리로는 닭강정이 있다.",,https://itour.incheon.go.kr,인천광역시 중구 관동3가,"10:00~21:00
※ 점포 별로 상이함","매월 첫째 월요일
※ 점포 별로 상이함",가능,,,출입구까지 경사로 있어 휠체어 접근 가능함,주출입구는 단차가 없어 휠체어 접근 가능함,"여전히 붐비고,맛난음식들 즐비하고 넘넘 재미있습니다 신포국제시장으로 데이트하고 왔습니다 맛난 먹거리들 때문에 한번씩 가게되는곳입니다 우연히 타르트 사먹었는데 너무 맛있어서 박스로 샀답니다ㅎㅎ알고보니 유명한집이더라고요 닭강정이나 튀김들도 다 맛있어요 상인들도 친절하시고 갈때마다 즐거운 시간보내고와서 기분전환하기 좋은곳입니다 1호선 전철타고 동인천역에서 조금 걸어가면 신포국제시장에 도착할수 있어요. 특히 다른 시장보다 맛있는 먹거리가 많아서 당일 먹방여행지로 방문하시면 너무 좋을것 같아요. 너무나 유명한 닭강정도 있지만 피자와 타르트도 너무 맛있으니 꼭 드셔보시길 추천해요!! 그렇게 큰 시장은 아니지만 유명한 닭강정도 먹을수 있고 방송탄 맛집들이 좀 있어요 학창시절엔 닭강정 먹으러 자주갔었는데 ㅎㅎ 근교에 자유공원도 있어서 산책하기도 괜찮아요 우연히 가봤는데 먹거리도 많고 북적여서 수도권이 아닌 다른 관광지에 온 기분이었어요! 특히 신포 닭강정 진짜 맛있었습니다! 맛있는 먹거리가 많아요 닭강정, 칼국수, 공갈빵 등 구경하다보면 양손에 가득인 짐을 발견할 수 있어요 시장 구경하는거 재밌어 하시는 분께 추천합니다 신포시장에서는 신포닭강정이 아니라 신포야채치킨을 먹어야합니다~~ 꽈배기집도 여럿있는데 신포꽈배기집에서 사야해요 왕꽈배기인데 진짜 맛있어요. 갈때마다 사옵니다.",,장애인 화장실 있음,,장애인 주차장 있음(신포 제2공영주차장)_무장애 편의시설,,,수유실 있음(지원센터 1층),,,,,,,휠체어 진입 가능 식당 있음,곡물 / 고기 / 생선 / 야채 / 과일 / 반찬 / 잡화 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
낭하리해변,"낭하리 해변은 선재도 낭하리에 있는 해수욕장이다. 선재도는 대부도와 영흥도 사이 작은 섬으로 두 섬 모두 육로로 연결되어 있으며 선재리의 부속 섬 측도와도 육로로 다닐 수 있다. 낭하리 해변은서해안 밀물 때 갯벌이 드러나 하루에 두 번 바닷길이 열리는 곳으로 유명하다. 이때 낙지, 굴 바지락 등을 잡기도 한다. 해변에서 남서측으로는 측도를 바라볼 수 있고 북쪽으로 영흥도와 영흥대교를 볼 수 있다. 인천 작은 섬을 찾아 드라이브 여행을 떠나는 사람들에게 좋은 장소이다.",,,인천광역시 옹진군 영흥면 선재리,상시 개방,연중무휴,가능,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
목섬,옹진에 위치한 목섬은 선재도에 딸린 무인섬이다. 또 다른 말로는 항도라고도 불리며 썰물 때 바닷물이 빠지면서 모랫길이 드러난다. 바다 위 모랫길은 갯벌이 아니라 모래나 자갈이 쌓여 있는 길로 밟아도 발이 빠지지 않는다. 모세의 기적을 체험할 수 있는 이 시간 때에 맞춰 모랫길을 걸어 목섬을 둘러보고자 선재도를 찾는 사람들도 많다. 선재어촌체험마을에서 갯벌 체험과 어촌 체험을 할 수 있고 가족 단위 관광객이 많이 찾는다. 옹진군이 아닌 다른 지역에도 같은 이름의 섬이 있으니 여행 시 주의해야 한다.,,,인천광역시 옹진군 영흥면 선재리,상시 개방,연중무휴,가능,,,,,더보기 영흥도 가는 길에 선재도에 있는 목섬에 들렀어요. 물때에 따라서 길이 생겨나는 섬을 좋아하는데요. 잘게 부셔진 조개와 고운 모래들에 고인 물들도 말고 쓰레기까지 없이 잘 관리되고 있어서 좋았어요. 섬 한바퀴 돌아보고 힐링하고 왔네요. 물이 빠지면 선재도에 드러난 모래길을 따라 걸으며 감상이 가능한 곳으로 길게 펼쳐진 모래사구와 파도에 깍인 바위등을 직접 눈으로 확인할수 있어 썰물시 꼭 찾아 보기를 강추한다ㆍ 모랫길이 가까워 보여도 물이 들어올때 자칫 하면 못 나올수도 있어요. 목섬 뒷쪽으로 돌아가면 예쁜 풀등이 만날수 있어요. 물때 시간 맞춰서 가면 모랫길로 목섬으로 갈수 있는 길이 열리더라구요 주말에 당일치기로 다녀오니 좋더라구요! 바닷길이 넓을때는 위에 전망에서 사진찍으면 사진이 잘나오네요 해 떨어질때 쯤 바닷길이 사라지니 가운데가 갈라지면서 물이 들어오는 순간을 느낄수 있네요 요즘 주변 공사중이라 공영 주차장 주차후 어촌 체험마을쪽 방향으로 들어가시는걸 추천해요 오래 전에 방문했었는데 신기했던 장소입니다. 바닷길이 갈리는 곳. 가족들과 섬을 체험하기에 좋은곳이였어요. 모랫길 나타날때 사진찍기에도 이뻤고 새로운 체험이라서 아이들도 좋아하네요.,,있음,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장경리해수욕장,"장경리해수욕장은 옹진군 영흥면 영흥도에 있는 해수욕장으로 인천광역시에서 서남쪽으로 떨어져 있다. 자갈이 섞인 모래해변과 노송지대 등 휴식과 해수욕을 즐기기에 적당하다. 해수욕장 주변에는 100년이 넘는 소나무 숲이 우거져 있어 노송지대에서 보는 낙조는 아름답기로 소문이 나 있는 곳이다. 서해의 해변과 마찬가지로 갯벌에 나가 조개, 낙지 등을 잡을 수 있다. 갯벌체험도 할 수 있어 가족을 동반한 관광객과 직장 단위의 피서객들이 많이 찾는 곳이다. 장경리해수욕장과 맞닿은 야영장은 물놀이존과 야영장으로 구분되어 편리하고 쾌적하게 운영되고 있다. 주변 관광지로는 에너지 산업과 전기원리를 체험할 수 있는 에너지파크와 다양한 수산물을 맛볼 수 있는 수산물 직판장, 실향민을 위해 설립했다는 통일사, 농어가 많이 잡힌다는 농어바위, 십리포해수욕장 등이 있다.",,http://www.janggyeongni.com/,인천광역시 옹진군 영흥면 영흥로 723,상시 개방,연중무휴,가능,,,해변가까지 접근 가능한 무단차구간 있음,,"며칠전 가족여행으로 다녀온 영흥도에서 들러본 장경리 해수욕장은 서해바다의 매력을 한껏 느낄수 있었습니다 풍력발전기들이 아주 예뻣던 곳이기도 합니다 길게 펼쳐진 해안선은 감탄을 자아 내기에 충분하고 주변에 멋진 소나무숲 과 야영장, 카페등이 있어 연인들이 많이 찾고 있다ㆍ 카페에서 유유히 지나는 배와 나조를 보면 절로 감탄을 자아내는 아주 멋진 곳이다ㆍ 노송 사이로 보는 낙조가 아름다운 해수욕장 장경리 해수욕장에서 힐링하고 왔습니다. 다양한 해산물도 맛볼수있어서 좋았습니다. 소나무 정말 아름답고 백사장 풍경은 가슴이 탁 트여서 스트레스가 풀렸어요 추천합니다",,장애인 전용 화장실 있음(주차장 내 공중화장실),무료,장애인 전용 주차구역 있음(장경리해변 공영주차장 8대)_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
노가리해변,"인천 영흥도에는 노가리(용담리), 장경리, 십리포 해수욕장이 있다. 노가리해변은 용담리해변이라고도 불리며 영흥도 외리 측도 방향 하단에 있다. 노가리해변은 국사봉과 양노봉의 산자락이 바다로 뻗어 있어 아름다운 자연경관을 만들어 낸다. 해변은 자갈과 흙토로 되어 있어 텐트 치기 좋아 노지캠핑장으로 인기가 좋다. 넓은 갯벌과 바다 앞으로 보이는 송전탑과 멀리 보이는 군도 전망을 보기 위해 사람들이 많이 찾는 장소이다.",,,인천광역시 옹진군 영흥면 외리,상시 개방,연중무휴,가능,,,,,한국의 그랜드 캐니언이라고 알려진 곳이라네요 가는길이 힘들었지만 사람들이 많이 없어요,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
한옥카페 갤러리도솔,"강화도 초지진에서 가까운 한옥 미술관으로 카페를 겸하고 있다. 소나무와 꽃, 나무 데크로 예쁘고 아담하게 꾸며진 미술관 정원이 특색있다. 미술관 내부에는 초대작가의 작품 감상과 함께 나뭇결을 살려 만든 테이블에서 전통 수제차와 건강한 디저트 등 다양한 음료를 즐길 수 있으며 도솔의 대표 메뉴인 대추차를 추천한다. 도솔에서는 작품 감상뿐만 아니라 체험 활동으로 나만의 머그컵 만들기도 할 수 있다.",,,인천광역시 강화군 길상면 길상로210번길 52-71,09:00~21:00,연중무휴,있음,,,,,"마당 잔디에서 놀거리들로 시간을 보낼 수 있고, 예쁜 꽃들도 보고~ 한옥카페에서 차 마시고 전시 구경하고~가족들과 좋은 시간 보냈어요^-^",,,,,,,,,,,"일반 8,000원
단체 6,000원
지역주민 6,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
덕산국민여가캠핑장,"덕산국민여가캠핑장은 인천광역시 강화군 덕산 산림욕장에 위치한 캠핑장으로 강화군 시설관리공단에서 운영하고 있다. 인삼 마을, 순무 마을, 약쑥 마을이라는 이름으로 구역이 나누어져 있으며 숲 속에서 산림욕을 하듯 캠핑을 즐길 수 있다는 것이 이 캠핑장의 장점이다. 캠핑장 내에는 62면의 야영 데크와 주차장 개수 시설, 샤워장, 어린이 놀이터, 족구장, 다목적 쉼터 등을 갖추고 있어 많은 이용객들이 행복한 캠핑을 즐길 수 있다.",,https://www.ghss.or.kr/ttreserve,인천광역시 강화군 내가면 강화서로227번길 91,14:00~익일11:00,연중무휴,,,,,,"숲속에서 즐기는 산림욕 캠핑장 덕산국민여가캠핑장을 추천합니다. 62면의 야영 데크와 주차장 개수 시설, 샤워장, 어린이 놀이터, 족구장, 다목적 쉼터 등을 갖추고 있어 정말 만족스러운곳이었습니다 가족들과 행복한 시간을 보낼수있습니다. 숲속에서 즐기는 산림욕 캠핑장 덕산 산림욕장에 위치한 캠핑장으로 강화군 시설관리공단에서 운영해요 경치가 너무나 멋진곳이고 힐링하기 좋습니다. 숲속에서 즐기는 산림욕 캠핑장 덕산국민여가캠핑장에 가족과 함께 가보세요 62면의 야영 데크와 주차장 개수시설, 샤워장, 어린이 놀이터, 족구장, 다목적 쉼터 등을 갖추고 있어 많은 이용객들이 행복한 캠핑을 즐길 수 있는 멋진곳입니다.",,,,,,,,,,,"25,000원~35,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강화 중앙시장,"강화 중앙시장은 주택 밀집 지역에 자연 발생적으로 형성된 재래시장이다. 2008년 시설을 개선하고 지역 밀착형[우리 동네 중앙시장]으로 거듭났다. A동과 B동으로 나뉘어 있는 중앙시장은 약 110여개(노점 26개 포함)의 점포로 구성되어 있는데 A동은 재래시장 형태지만 B동은 깔끔하게 단장된 상가 점포들이다. A동 지하 1층과 지상 1층에는 마트가 2층은 전문 의류매장, 3층은 태권도 학원 등이 있다. B동의 지하 1층에는 주점과 다방, 1층에는 마트, 2층에는 한복이나 이불 등을 파는 점포와 선교회 등이 있다. 3층에는 교습 학원이 있다. 총 35개의 점포 및 상가가 밀집해 있어 지역주민이나 관광객들이 편리하게 쇼핑할 수 있다.",,,인천광역시 강화군 강화읍 강화대로 430,점포 별로 상이함,점포 별로 상이함,가능,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,,,,,장애인 주차장 있음_무장애 편의시설,,,,,,,,,,,식료품 / 생활용품 / 의류 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
