place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,접근로,출입통로,장애인 주차 안내,화장실,엘리베이터,오디오 가이드,review,이용요금,휠체어,수유실,관람석,판매 품목,지정현황,이용가능시설,점자 홍보물,이용 시기,유모차,체험가능 연령,시각장애 기타상세,지체장애 기타 상세,주요시설,시설이용료,대중 교통,개장기간,부대시설,주차요금,규모,주차 요금,수용인원,입점브랜드,유아용보조의자,보조견 동반,점자 블록,안내 요원,보유장비,유도안내 설비,코스안내,자막 비디오 가이드,할인 정보,강습안내,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,객실,매표소,대여안내,영유아가족 기타상세,체험
비석문화마을,"아미동 비석문화마을은 부산의 역사를 좀 더 단적으로 보여주는 동네이다. 구한말 일본인 거류민단이 들어오면서 빈민촌이었던 이곳에 화장장과 공동묘지가 들어섰고, 해방 이후 한국 전쟁과 피난, 부산시내 판잣집 철거정책으로 산으로 산으로 떠밀려온 사람들이 삶의 희망을 꿈꾸며 일궈온 마을이다. 비석마을의 골목에서는 그 흔적들을 볼 수 있는데, 각진 모양의 상석이나 비석들은 가파른 계단의 디딤돌로 쓰이거나 옹벽 또는 집의 주춧돌 등으로 활용되었다. 아픈 역사와 문화를 가진 곳에서 지금의 아름다운 문화 마을로 탈바꿈하기까지 모든 과정이 고스란히 담겨있는 곳이다. 또한, 이 마을은 산복도로 르네상스사업과 행복마을 만들기 사업으로 커뮤니티 시설이 건립되고, 아미동 주민들의 마을공동체가 활발히 운영하며 이곳에서의 삶을 미래로 이어가고 있다.",,https://www.bsseogu.go.kr/tour/,부산광역시 서구 아미로 49 (아미동2가),상시 개방,연중무휴,"가능
요금 (10분 당 100원)",무료,,,,,,,감천마을뿐만 아니라 비석마을도 볼거리가 많네요. 박물관도 있고 특히 마을관광안내소에서 받은 지도를 들고 보물찾기하듯 골목골목을 다니며 비석을 찾으면 아주 흥미롭습니다. 역사적 의미도 이해하게 되고 비석위에 집을 짓고 살아야 했던 사람들과 고국으로 돌아가지 못한채 묻힌 일본사람들 모두 안타깝고 마을을 돌며 여러 생각을 느낄수 있었습니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초량시장,"1975년 개설된 상가 건물형의 중형시장이다. 부산역 근처 가볼 만한 곳으로 초량전통시장은 부산역에서 도보로 10분이면 도착하는 곳에 있어 접근성이 좋다. 생기와 매력이 넘쳐나는 초량전통시장은 부산역에서 내린 관광객들의 발길이 닿는 곳이면서, 인근 주민들도 즐겨 찾는 곳이다. 초량전통시장은 현대화 사업을 통해 깔끔하게 정돈되어 밝은 분위기를 느낄 수 있다. 높고 튼튼한 아케이드 천장과 곳곳에 보이는 장승 모형, 통일된 간판이 인상적이다. 전통시장의 느낌은 그대로 느끼면서 깔끔한 현대적인 분위기를 모두 느낄 수 있는 곳이다. 주변에 차이나타운과 부산역의 유동 인구를 활용해 시장 홍보 방법을 모색하고 축제 한마당 행사를 진행하여 많은 사람들이 방문하고 있다.",,,부산광역시 동구 초량로13번길 8,※ 매장마다 상이함,※ 매장마다 상이함,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,소소하게 구경하는 곳 부산여행왔다가 초량전통시장 구경 잘하고 혼자 밥먹기 고민되어 주변 검색하다보니 칙바이칙 초량점이 초량전통시장 후문 방향에 있어 방문했는데 햄버거랑 밥을 같이 파네요. 사장님이 너무 친절하신데다 너무맛있게 만들어주셔 감동받아 공유하고싶어 글 남깁니다. 부산 초량동 쪽에는 고층빌딩이 예전부터 많아서 나름 맛집이나 오래된 전통식당들이 많은데 초량시장안에 한치칼국수로 유명한 칼국수 집에 갔다왔습니다 해산물이 가득들어가서 너무 있었더라구요 초량밀면도 유명하지만 초량 갈 일있으면 이집꼭 한번 가보세요 굿,,,,,농산물 / 축산물 / 채소 / 한복 / 잡화 / 생필품 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
녹산고향동산,"부산 강서구에 있는 녹산고향동산은 낙동강을 보면서 산책할 수 있는 공원이다. 맞은편에 둔치도 있어 더 운치가 있다. 기념관, 야외무대, 놀이터, 족구장, 전망데크, 산책로, 쉼터 등 다양한 문화공간으로 이루어져 있다. 가볍게 산책하기 좋고, 당일치기 캠핑, 차박, 낚시 등이 가능해 날이 좋을 때나 주말에는 많은 사람이 찾는다. 취사는 할 수 없지만, 배달 음식을 먹는 것은 허용된다. 공원 근처 편의점을 이용할 수도 있으며 돗자리, 텐트도 이용이 가능하여 날씨 좋은 날 피크닉 하기에도 좋다. 강가 주위에는 낚시하는 사람들도 종종 볼 수 있다. 차로 25분 거리에 가덕도 정거마을 문화거리도 있어 함께 방문해 보면 좋다.",,,부산광역시 강서구 범방4로 132,상시 개방,연중무휴,가능,무료,,,,있음,,,주차장 및 주차할 공간이 있어 아이들과 피크닉 하기 좋은 곳입니다. 인도길도 새로 만들어서 안전하네요. 여름에 방문하니 수국도 예쁘게 펴있어서 좋았습니다♡ 스텔스 차박이 가능한지 궁금합니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
통일아시아드 공원,"부산시 사하구 다대동에 있는 통일아시아드 공원은 2002년 아시안게임 당시 북한 응원단을 태운 만경봉호가 다대포항에 입항하여 체류한 사실을 기념하고, 도심 내 부족한 주민쉼터를 확충하기 위해 조성된 기념공원이다. 조형물로는 기둥 위에 모자를 씌워 놓은 것 같은 아시아드 열주, 성화를 형상화한 빛 기념물, 만경봉호 외관을 닮은 유리로 만들어진 만남의 벽 등이 있다. 예쁜 산책로, 반려견을 위한 친환경 화장실, 보호자 전용도로 등 편의시설이 잘되어 있어 아이들과 함께 혹은 반려견과 함께 산책하기 좋은 곳이다. 넓지 않지만 지역 주민들이 산책할 수 있는 공간으로 활용되고 있다. 근처에 다대포 해수욕장, 몰운대 등이 인접해 있어 함께 둘러보기 좋다.",,,부산광역시 사하구 다대동 1585,상시 개방,연중무휴,가능,무료,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,있음,,,"주말이면 아이들 웃음소리 가득하고 여름에는 시원한 바닥분수가, 가을엔 금목서와 은목서 향이 가득해요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신평종합시장,"부산광역시 사하구 동매역 2번 출구에서 나와 조금 걸으면 신평종합시장이 있다. 1981년 개설된 상가건물형의 소형시장이다. 신평종합시장은 신평 시장 거리에 위치하고 있어, 신평종합시장을 신평 골목 시장과 분리하지 않고 이 일대를 ‘신평 시장’이라고도 부른다. 신평종합시장에는 다양한 먹거리와 과일 상점이 있는데, 저렴한 가격으로 다양한 먹거리 구매를 할 수 있다. 독특하고 개성이 넘치는 시장으로, 다양한 점포들이 한 곳에 줄지어있기 때문에 마트 못지않은 쇼핑이 가능하다. 곳곳에 맛집들이 있고 시장의 개념을 넘어서 예술의 공간으로 트렌드를 맞춰가고 있기에 지역주민들은 물론 여행객에게도 가보고 싶은 곳으로 꼽힌다. 노상 공영주차장을 이용할 수 있어 주차가 편리하며, 장림포구, 장림생태공원이 인접해 있어 함께 둘러보기 좋다.",,,부산광역시 사하구 신평동 111-604,※ 매장마다 상이함,※ 매장마다 상이함,가능,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,,,,,,,,,과일/ 농산물 / 수산물 / 축산물 / 의류 / 잡화 / 생필품 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성지곡수원지,"백양산(해발 642m) 기슭에 위치하고 있는 성지곡수원지는 어린이대공원 안에 자리 잡고 있으며 부산지역에 식수를 공급하기 위해 1909년 건립하였으나, 1972년 낙동강 상수도 공사가 완공되어 상수원으로서의 기능은 상실하였다. 성지곡수원지 주변으로 상록침엽수인 삼나무, 편백 등 각종 수목이 울창하게 조성되어 있어 도심 속 시민들의 휴식공간으로 자리 잡고 있는 곳이다.
사계절 수목이 우거진 성지곡수원지 주변에는 수원지를 끼고 순환하는 2.5㎞의 산책코스가 조성되어 있어, 언제나 시민들로 가득하다. 울창한 편백나무숲, 고즈넉한 호수, 그리고 피톤치드 가득한 산책로는 부산 시민이라면 누구나 추억 한 자락씩 간직하지 않은 이가 없을 정도로 예전부터 시민들에게 사랑받는 장소였다.",,https://www.heritage.go.kr/,부산광역시 부산진구 새싹로 295 (초읍동),상시 개방,연중무휴,"가능 (총 807대)
요금 (10분 당 300원 / 추가 1시간 당 1,800원)",무료,,,,있음,,,,,,,,,국가등록문화유산 부산 구 성지곡수원지 (2008.07.03. 지정),,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비콘그라운드,"비콘(B-Con) 그라운드는 부산(BUSAN)의 B와 컨테이너(CONTAIN)의 CON이 합쳐져 ＂부산을 담다.＂라는 의미를 가지고 있으며, 부산광역시에서 수영 고가도로 하부 유휴공간을 새로이 설계하고 재생시킨 공간으로, 고가도로로 인하여 양분되고 낙후된 지역을 연결하고 부족한 문화 공간을 제공하는 생활 복합 문화공간이다. 지역개발의 부재로 낙후된 지역을 연결하고 문화시설로써 지역재생과 기존의 지역 인프라 및 관광 네트워크와의 연계로 경제적 시너지를 끌어올리는 지역 활성화 프로그램으로 탄생되었다.
커뮤니티그라운드, 패밀리데크, 비콘스퀘어, 쇼핑그라운드, 플레이그라운드, 아트갤러리 등의 공간이 있으며, 소모임, 교육, 세미나 등의 활용이 가능한 공간인 커뮤니티그라운드, 부산 장애예술인이 입주하여 창작활동 및 전시가 이루어지는 패밀리데크, 카페, 일반소매점 등이 입점해 있는 쇼핑그라운드, 부산 시민을 위한 다양한 행사가 열리는 공간인 플레이그라운드, 부산의 소셜벤처기업이 입주해 있으며, 예술품의 판매와 전시 및 연계 문화 프로그램이 운영되는 공간인 아트갤러리 등이 운영되고 있다.",,https://b-con.bisco.or.kr/,부산광역시 수영구 망미번영로 49-1 (망미동),09:00~21:00,연중무휴,가능 (총 87면),,,,,,,,여행지도 상에 위치 표기가 잘못돼 있네요,,,,,,,,,,,,,,,,,,,,,"10분 당 200원 / 1일 최대 4,700원",,,,,,,,,,,,,,,,,,,,,,
영도 하늘전망대,"영도의 하늘 전망대는 경치가 좋기로 소문난 절영해안산책로에 있다. 날씨가 화창한 날엔 대마도, 거제도, 가덕도 등이 보이며 75 광장과 연결되어 있다. 바닥이 반투명한 스카이워크와 커플들이 자물쇠를 거는 곳이 마련되어 있어 연인들의 데이트 장소로 인기가 높다. 하늘 전망대라는 이름에 걸맞게 탁 트인 푸른 바다와 파란 하늘을 한눈에 담을 수 있으며, 나무 데크 길로 내려가면 해안산책길로 이어진다. 전망대 아래 해변은 스노클링을 즐길 수 있는 자갈 해변과 왕복 20분 정도 걸리는 해변 산책로가 있고, 근처에 영화〈변호인〉 촬영지로도 유명한 흰여울 문화마을과 연결된다. 특히 이곳은 부산의 노을 명소로 주목받고 있으며, 주차장과 화장실이 구비되어 있다.",,https://www.yeongdo.go.kr/tour.web,부산광역시 영도구 동삼동 628-66,상시 개방,연중무휴,불가능,무료,,,,,,,"부산 영도 하늘전망대는 정말 이름 그대로 ‘하늘 위에 떠 있는 느낌’이 드는 곳이었어요. 바다를 향해 툭 튀어나온 유리 바닥 전망대에 올라서니 발 아래로 바다가 보여 처음엔 살짝 아찔했지만, 곧 눈앞에 펼쳐진 광활한 바다 풍경에 감탄이 절로 나왔습니다. 푸른 하늘과 맞닿은 수평선, 잔잔히 움직이는 배들, 멀리 보이는 부산항대교까지 한눈에 담기는 뷰는 정말 그림 같았어요. 사진 찍기 좋은 포인...
더보기 답답한 마음을 뻥 뚫리게 해주는 영도 하늘전망대는 경치가 좋고 날이 좋으면 더 많은 걸 볼 수 있어서 좋아요. 스트레스 풀리는 스카이 워크는 핫스팟이니 꼭 가보길 추천합니다. :)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산남항,"부산남항은 부산항의 바로 옆에 위치하고 있으며, 영도대교와 남항대교까지 이르는 항구가 이곳에 해당한다. 부산의 상징인 자갈치시장을 포함해, 부산공동어시장, 그 너머 영도의 남항동이 자리하고 있다. 특히 영도의 남항동에는 크고 작은 조선소들이 많은데 주로 배를 수리하는 곳들이다. 한국전쟁 피난시절 수많은 사람들이 이곳에 터전을 가꾸고 오랜 세월을 버티며 살아온 작은 마을이라 사람 사는 냄새가 많이 베인 곳이다. 반대편인 남부민동에는 국내 최대의 수산물 위판장인 부산공동어시장이 자리하고 있어 냉동창고나 가공공장들이 가득하다. 그 옆으로는 자갈치시장과 항구가 맞닿아 있어서 신선한 수산물들을 싸게 구입할 수도 있고 맛볼 수도 있어 항상 지역 사람들과 관광객들이 어울려 북적이는 곳이다.

부산남항의 입구에 남항대교가 있다. 남항대교는 부산 서구 안남동과 영도구 영선동을 연결해 주는 다리이다. 다리 양쪽 끝에 엘리베이터와 계단이 있어 대교 위에 올라서면 부산 앞바다의 전경이 멋지게 펼쳐진다. 부산에서도 전망 좋은 곳으로 입소문이 나면서 찾는 발걸음이 많아지고 있다. 남항대교 아래로 수변공원도 조성되어 있어서 돗자리를 깔고 휴식을 취하는 지역주민들도 있고, 낚시를 즐기러 오는 강태공들도 많이 찾은 곳이다.",,https://www.busan.go.kr/southport,부산광역시 영도구 대평북로 6 (대교동1가),상시 개방,연중무휴,가능,무료,,,,있음,,,,,,,,,,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,
삼락생태공원,"삼락은 가장 넓은 둔치지역을 자랑하는 곳으로, 다양한 자연환경과 시민들을 위한 친수공간이 조성되어 있는 체육 및 휴식공간이다. 삼락생태공원은 과거 비닐하우스 경작지였던 곳을 1998년 사상구청에서 삼락둔치 상단부 일부에 운동장(446,280㎡)을 조성하였고, 2006년 부산시 낙동강둔치 재정비사업으로 겨울철새 먹이터로 이용하기 위한 친환경영농원 793,388㎡, 물놀이장, 인라인스케이트장 등 체육시설과 66,115㎡의 습지를 복원하였다. 2009년 4대 강 살리기 사업으로 영농원은 모두 철거하여 철새먹이터, 습지 등으로 복원하였고, 일부공간에 계류장을 조성하여 향후 수상레저 등을 즐길 수 있도록 기반을 구축하였다. 삼락생태공원은 크게 세 부분으로 볼 수 있는데, 첫째는 최상단부와 중앙 부분에 시민들을 위한 체육시설, 둘째는 상단부 쪽에 갈대 및 갯버들 군락의 커다란 자연초지(일부 맹꽁이 서석지)와 곳곳의 산책로, 셋째는 하단부의 갈대습지 형성과 철에 많은 철새들이 찾아오는 곳으로 구성되어 있다.",,https://www.busan.go.kr/index,부산광역시 사상구 낙동대로 1231,상시 개방,연중무휴,"가능
요금 (무료)",무료,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,,장애인 화장실 있음_무장애 편의시설,,,,,,,,,,체육시설 (축구장 등) / 자전거 대여소 / 삼락야외수영장 / 감전야생화단지 / 삼락습지생태원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
