place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,review,주차 요금,이용요금,접근로,출입통로,장애인 주차 안내,수유실,입장료,지정현황,이용가능시설,주차요금,엘리베이터,유모차,휠체어,점자 홍보물,체험가능 연령,오디오 가이드,시설이용료,지체장애 기타 상세,수용인원,판매 품목,주요시설,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,캠프파이어 여부,대중 교통,관람석,규모,부대시설,이용 시기,객실,개장기간,시각장애 기타상세,할인 정보,유아용보조의자,보유장비,강습안내,점자 블록,대여안내,보조견 동반,매표소,안내 요원,코스안내,예약안내,예약안내 홈페이지,입점브랜드,식음료장,뷰티시설여부,노래방 여부,사우나실 여부,스포츠 시설 여부,세미나실 여부,유도안내 설비,영유아가족 기타상세,체험
[변산 마실길 2코스] 노루목 상사화길,"변산 마실길 2코스는 철책 초소 길을 따라 자연적으로 조성된 상사화 군락지를 지나 솔향 가득한 송림, 금빛 모래의 고사포 해수욕장을 거쳐 옥녀가 머리를 감았다는 성천에 이르는 구간이다. 노루목상사화길이라고도 하는 이 길은 산과 들, 그리고 바다를 한 번에 감상 할 수 있는 환상적인 경치로 인기가 많은 코스이다. 특히 바닷가를 배경으로 여름철 샤스타데이지꽃과 7월 붉노랑 상사화가 절정일 때 이 길을 걷는 것은 더욱 특별한 체험이다. 해가 질 무렵 바다 위로 떨어지는 해를 보며 마실길을 걷는 것도 절대 후회하지 않을 경험이다.
송포항~성천포구 코스로 총 5.3㎞ 구간으로 소요 시간은 1시간 15분이다.",,https://www.buan.go.kr,전북특별자치도 부안군 변산면 송포항~성천포구,일출~일몰,연중무휴,,있음,끝물에 갔지만 아직 예쁘게 피어있었네요. 정말 뜨겁고 더웠는데. 바다와 같이 펼쳐진 데이지가 이뻤어요. 시작지점에서 멀지 않아서 좋았어요 샤스타데이지 군락지가 하얀눈이 내린것처럼 이쁩니다. 변산해수욕장 을 지나가는 마실길 2코스 바다를 보며 바람을 타고 걷다 보면 고민도 사라져요 해질녘 노을이 물든 변산마실길 2코스의 데이지 꽃밭은 정말이지 평화로웠습니다. 너무 아름다워서 시간 가는 줄도 모르고 넋놓고 보게되더라구요. 부안의 슬로건이 '축복의 땅'이던데 아마 이 천혜의 자연환경을 바탕으로 만들어진 슬로건이 아닌가 싶습니다.,,,,,장애인 주차장 있음_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오수상설시장,"오수 상설시장은 1932년 5월 15일에 개장했다. 무려 80년이라는 긴 세월 동안 자리를 지켜온 유서 깊은 시장이다. 지금은 현대식 건물로 깔끔하게 지어졌지만, 처음엔 초가집 형태의 시장이었다. 하지만 최근 10여 년간 재건축 사업을 진행하면서 현재의 모습을 갖추게 되었다. 오수 장날은 매달 5일, 10일, 15일, 20일, 25일, 30일에 선다. 오수시장이 오랜 시간 사랑받아 온 이유 중 하나는 바로 싱싱한 해산물 덕분이다. 특히 병어 철인 6월~8월에는 전국 각지에 많은 사람들이 찾아올 정도로 인기가 많다. 그뿐만 아니라 인근 바다에서 잡은 꽃게, 조기, 낙지 등 각종 해산물 및 토박이 농부들이 판매하는 각종 채소, 과실, 생선, 잡화 등 또한 저렴한 가격에 판매되고 있어 현지인들에게도 인기가 많다. 오수시장은 남원, 순창, 장수 3개 시군과 7개 면의 교통 요충지로써 장날이면 각 지역에서 몰려드는 장사꾼과 사람들로 북새통을 이루고 있으며 투박한 시골 사람과 장사꾼들의 물건 가격을 흥정하는 광경은 아직도 시골 시장의 정취를 물씬 풍기고 있는 정겨운 장터의 풍경이다.",,임실군 문화관광 https://www.imsil.go.kr,전북특별자치도 임실군 오수면 오수로 159,점포 별로 상이함,점포 별로 상이함,가능,,주차요금이 무료라서 좋았어요 시장분들도 친절하시고 상품들이 질이 좋고 신선해서 좋아요 전통시장 나들이 좋아하신다면 추천해요,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,,,,,,,,,,,,,,각종 채소 / 과실 / 생선 / 잡화 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
갑오동학혁명 100주년 기념탑,"내장저수지가 바라다보이는 곳에 자리 잡고 있는 이 탑은 동학농민혁명 100주년을 기리는 탑으로 1997년 5월 11일 건립되었다. 바로 옆에는 내장산조각공원이 있다. 화강암, 대리석, 오석 등으로 만든 탑으로, 주탑과 부탑으로 되어있다. 주탑의 4각뿔은 동학농민혁명의 이상을 상징하고 흰 대리석은 민족봉기의 정신을 상징한다. 동학농민혁명이 일어난 1894년을 기리기 위하여 높이 1,894m로 조성하였다. 상층부에 3단 금태는 고부 농민봉기, 3월 백산봉기, 9월 삼례봉기를 상징한다. 문경석으로 만든 부탑은 4개의 원기둥으로 되어 있는데 이는 4민, 평등, 수평, 사회를 상징하는 것이다. 각각의 원기둥은 높이 1,100m, 지름 85㎝ 규모이다. 이 기념탑은 정읍 출신의 설치미술가 전수천이 조성하였다. 주변에 내장산 워터파크와 내장산 문화광장이 있다.",,정읍관광 https://www.jeongeup.go.kr,전북특별자치도 정읍시 내장호반로 214 (쌍암동),상시 개방,연중무휴,불가능,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가마소계곡,"가마소계곡은 전라북도 부안군 상서면 청림리에 위치한 계곡으로, 이름은 폭포 아래 물웅덩이와 주변 지형이 가마솥처럼 움푹 파인 모습에서 유래하였으며, 한자로는 부소(釜沼)라 한다. 계곡은 변산반도 남부의 세봉(해발 433m)에서 시작되어 비교적 좁은 협곡을 따라 형성되며, 수려한 풍광을 자랑한다. 지류인 와룡소계곡과 연결되어 있어 통칭 ‘회양계곡’으로 불리며, 전체 길이는 약 9km에 이른다. 내변산에서도 교통이 다소 불편한 지역에 속하지만, 이곳의 폭포와 소는 하천 지형의 특징을 잘 보여주는 자연 자원이다. 가마소계곡은 내변산 탐방 시 빼놓을 수 없는 주요 경관지로 손꼽힌다.",,,전북특별자치도 부안군 상서면 청림리,상시 개방,연중무휴,가능,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고창 무장현 관아와 읍성,"무장읍성은 1417년 무장진의 병마사에 마을을 다스리는 기능을 주어 무장진 병마사 김노가 쌓은 길이 약 1.2㎞의 평지성이다. 읍성의 남문인 진무루는 앞면 3칸, 옆면 2칸의 2층 건물이며, 동문터도 잘 남아 있다. 성 주위를 둘러싼 물길인 해자는 폭 4m, 길이 574m 정도로 그 흔적만 남아있다. 성 안의 건물로는 객사, 동헌이 있다. <문종실록>에 의하면 읍성의 둘레는 1,470척(약441m), 높이 7척(약 2m)이며 해자의 둘레는 2,127척(약 638m)이고 문은 2개가 있으며 성의 규모를 넓혀야 한다고 기록되어 있다. 그동안 흙으로만 축조된 토성으로 알려져 왔던 이 성이 공사 때 성벽 동쪽 끝부분의 단면이 드러났었는데 성곽일부가 흙과 돌을 섞어서 축조된 것임이 밝혀졌다. 1915년에 발견된 <무장읍지>에 의하면 조선 태종 17년(1417) 병마사 김저래가 여러 고을의 백성과 승려 등 주민 20,000여명을 동원하여 그해 2월부터 5월까지 만 4개월 동안에 축조했다고 전한다. 한편 1894년 일어났던 동학 농민혁명은 이곳 무장읍성에서 맨 처음 봉기하였던 역사의 현장이기도 하다. 무장읍성은 조선시대 옛 읍성의 모습을 연구하고 살피는데 중요한 자료가 된다.",,고창문화관광 https://tour.gochang.go.kr,전북특별자치도 고창군 무장면 무장읍성길 45 (무장면),상시 개방,연중무휴,가능,,"비가 오락가락하는 날씨였지만 비가와도 멋진곳이었습니다. 고창방문때 꼭 들려보시길 고창 무장읍성 진무루를 지나 들어오면 예쁘게 관리된 내부와 성벽을에 올라 시골풍경을 바라보면 평온함에 낮잠을 청하고 싶어져요 읍성 축제가 5월 10일이라고 하네요 고창 청보리밭 축제 갔다가 들렀는데 너무 평화롭고 좋네요 5월에 축제를 한다고해서 아이들과함께 프로그램에 참여하려고 사전예약을했습니다. 아이들도 골든벨과 사생대회가 처음이라 너무 기대가 하고 있어요. 빨리방문하고싶어요 청보리밭이랑 고창읍성 들리면서 가게됐는데 조용하고 넓고 아늑해서 좋았어요. 고창 들리면서 다들 꼭 들렸으면 하는 곳! 수령을 가늠하기가 어려운 고목들의 위세가 아침나절 고요함을 더해준다. 드문 인적, 고요 속에 느껴보는 한적함이 마음에 평온함을 선사한다 맛집여행갔다가 주인분님이 추천해주신 곳. 조용하고 평온함이 느껴지는 곳~",,,,,,,,사적 고창 무장현 관아와 읍성 (1991.02.26. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하섬,"하섬은 전북 부안의 변산반도국립공원에 속한 섬으로, 고사포해수욕장에서 약 2km, 성천포구에서는 약 1km 떨어져 있다. 섬의 이름은 ‘바다에 떠 있는 연꽃 같다’ 하여 연꽃 하(荷) 자를 쓰기도 하고, 새우가 웅크린 모습이라 하여 새우 하(鰕) 자를 쓰기도 한다. 하섬에는 200여 종의 식물이 자라고 있으며, 울창한 소나무 숲에서 솔향과 솔바람을 느낄 수 있다. 섬 남쪽에는 작은 백사장이 있어 여름철에는 한적하게 해수욕을 즐길 수 있다. 현재는 원불교 재단 소유로 해상수련원으로 사용되고 있으며, 예약한 원불교 신도나 동반한 일반인에 한해 출입이 가능하고, 바닷길이 열릴 때는 섬까지 도보 이동과 갯벌 체험이 가능하다.",,https://www.buan.go.kr/tour/index.buan,전북특별자치도 부안군 변산면,상시 개방,연중무휴,가능,,이번에 변산반도1박2일 여행가는데 좋은 정보감사합니다 물빠지니 걷기 좋아요,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
위도 (전북 서해안 국가지질공원),"위도는 전라북도 부안군 격포항에서 배로 약 50분 거리에 위치한 섬으로, 자연경관이 아름답고 어업 자원이 풍부하다. 여객선이 닿는 파장금항은 격포에서 출발한 배가 가장 먼저 도착하는 곳으로, 승선을 위해서는 신분증이 필요하다. 위도는 서해안에서 백령도 다음으로 큰 섬이며, 남쪽에 위치한 칠산어장은 과거 대규모 조기 파시로 유명했다. 섬에는 '위도의 채석강'이라 불리는 용머리해안과 고슴도치를 닮은 섬 지형이 볼거리로, 해안도로를 따라 약 20km의 드라이브 코스도 조성되어 있다. 북동쪽 파장금항의 반대편 전막리에는 팔각정과 갯벌 체험장이 있으며, 이곳에서 위도의 푸른 바다 풍경이 절정을 이룬다.",,https://www.buan.go.kr/tour/index.buan,전북특별자치도 부안군 위도면 치도리,상시 개방,연중무휴,가능,,격포항에서 50분 배타고 들어가면 위도라는 섬이 있는데 바다도 깨끗하고 해수욕장도있고 아이들과 해루질도하기 너무좋아요~ 전에갔을때 정보없이가서 못본곳이 많아 다시 방문하러갑니다. 공룡알화석지랑 여러가지 지질지형을 이번엔 자세히보고 올께요. 서해바다 같지 않은 맑은 바닷물과 고즈넉함이 있는곳 꽤 큰섬이라 배 시간에 맞춰 섬 투어 관광버스도 있어요.(1인 1천원) 고슴도치길 트래킹 강추합니다. 군산 부안 변산 부근에는 여러번 가봤지란 위도는 못가본 가고픈 섬입니다. 가보렵니다.,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모악산도립공원,"모악산은 전라북도 전주시 중인동, 김제시 금산면, 완주군 구이면에 걸쳐져 있으며 1971년 12월 2일에 도립공원으로 지정되었다. 호남 4경의 하나인 모악산은 높이 793.5m로 김제평야의 동쪽에 우뚝 솟아있어 호남평야를 한눈에 내려다볼 수 있다. 구전에 의하면 모악산 꼭대기에서 아기를 안고 있는 어머니의 모습을 닮은 큰 바위가 있어 모악산이라 했다고 한다. 또는 어머니의 산이라는 의미를 가진 엄뫼를 의역하여 모악이라 부르게 되었다고도 전해진다. 백제 법왕 원년(599년)에 건립된 금산사가 있으며 모악산 동남쪽 중턱에는 대원사, 수왕사가, 모악산의 서쪽으로는 귀신사가 있다. 모악산에 등록된 사찰만 해도 청룡사, 심원암, 학선암, 용천암, 보현사, 천국사, 용화사, 쌍용사, 월명암, 도통사 등이 있고, 이 밖에 증산교 본부를 비롯하여 많은 신흥종교 단체가 자리 잡고 있다. 국보, 보물, 지방문화재가 산재해 있는 모악산은 사시사철 변모하는 자연경관이 매우 아름다워 사찰을 찾거나 등산을 하기 위해 많은 관광객들이 찾아오는 관광 명소이다.",,김제시 문화관광 https://www.gimje.go.kr,전북특별자치도 김제시 금산면 모악로 494,"- 하절기(3월~10월) 09:00~18:00
- 동절기(11월~2월) 09:00~17:00",매주 월요일 / 1월 1일,가능,장애인 화장실 있음,산이 많이 높지 않아서 등산하기에도 좋고 주변길이 이뻐 산책하기에 정말좋아요. 또 모악산 가는길에 유명한 베이커리카페도 있어서 맛있는빵도 사올수 있어요 능선따라 등산하는데 풍경이 너무 이뻐요. 명산입니다 등산하기 너무 좋은 산이에요 악산이라고는 하지만 코스가 여러군데여서 쉬운 길 선택해서 오를 수 있고 옛날에는 정상에 막걸리파는 아저씨가 계셨는데ㅎㅎ 입구에 맛집들도 많이 있으니 꽃피는 봄에 들러보세요~ 모악산 악이 들어가서 인지 등산할 때는 힘들긴 하지만 주변에 먹거리 볼거리가 많아 아이들과 산책하거나 소풍가기 좋은 곳이라 종종 방문합니다.,,,,,장애인 전용 주차구역 있음_무장애 편의시설,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
익산 미륵산성,"전라북도 익산시 미륵산에 위치한 이 산성은 일명 용화산성으로 불리는데 옛날에는 미륵산을 용화산이라 했기 때문이다. 고조선시대 기준왕이 이곳으로 내려와 쌓았다고 하여 ‘기준성’이라고도 부르기도 하지만 마한의 여러 나라 중 하나가 이곳을 중심으로 세력을 누리고 있었던 것으로 보아 산성도 그때 만들어진 것으로 추정된다. 고려 태조가 후백제의 신검과 견훤을 쫓을 때 이를 토벌하여 마성에서 신검의 항복을 받았다고 하는데 그 마성이 바로 이 산성이다. 익산 미륵산성은 둘레 약 1,776m 포곡식 석성으로, 미륵산 정상부와 북쪽 봉우리를 포함해 동쪽 계곡을 에워싼다. 익산 지역 11개 성곽 중 규모가 가장 크다. 북쪽으로 낭산산성, 동쪽으로 용화산성과 선인봉산성, 남쪽으로 익산 토성(사적)과 금마토성이 미륵산성을 겹겹이 둘러싼 형태다. 고도가 가장 높은 미륵산성은 주변 지역을 관망하기 쉬운 지점으로 모든 성곽이 한눈에 들어온다.",,https://www.heritage.go.kr,전북특별자치도 익산시 금마면 구룡길 57-125,상시 개방,연중무휴,가능,,,,,,,,,무료,전북특별자치도 기념물 익산미륵산성 (1973.06.23. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전군가도100리벚꽃길,"전군가도는 한일합방 직전인 1908년 전주에서 군산까지 장장 46㎞에 걸쳐 만든 신작로였다. 일제는 호남곡창지대에서 수탈한 쌀을 이 도로를 통해 운반, 군산항을 거쳐 일본으로 가져간 아픈 역사를 가지고 있다. 1975년 정부예산에 재일교포들의 성금을 합쳐 총 6,400여 그루 벚나무가 식재되면서 국내에서 가장 긴 100리 벚꽃터널로 전국에 알려졌다. 벚꽃은 다양한 꽃말을 갖고 있고 그 중 대표적인 게 부와 번영이다. 이 도로에 벚나무가 식재되면서 도로명이 전군가도에서 번영로로 바뀐 이유다. 그러나 벚나무를 식재한 지 40년이 넘으면서 상당수가 고사하고 생육상태도 좋지 않아 옛 명성이 퇴색하였다. 이에 전북도 지방차치단체들이 군산근대문화유산 가치를 결합해 전군가도를 기억의 공간으로 재창조한다는 계획 아래 벚꽃길 복원사업으로 2018년부터 2022년까지 5년동안 33㎞ 구간에 벚나무를 새로 심거나 기존 수목을 정비하였다. 그 결과 이 번영로에 다시 벚나무가 쑥쑥 자라고 있다. 지역 발전의 염원을 담아 붙인 이름처럼 번성했던 번영로의 벚꽃이 옛 명성을 되찾을 수 있을지 지켜볼 일이다.",,,전북특별자치도 익산시 목천동,상시 개방,연중무휴,,,"전군가도 벚꽃길들려서 군산은파호수공원까지 갔다왔어요..벚꽃이 호수둘레에 쭉 펴있는데 오늘 장관이었습니다..날씨도 포근하니 산책나온 사람들도 많아서 아주 좋았어요 군산이 고향이라 전주,군산,익산의 트라이앵글로 이루어진 하루 생활권에서 살아와서 전군도로 벚꽃길이 그리 유명한 지 몰랐다. 마라톤대회도 열리곤 하는, 벚꽃잎이 흩날리는 전군도로를 따라 쭉 뻗은 길을 가면 너무너무 이쁜 봄길을 만끽할 수 있다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
