place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,지정현황,review,입장료,화장실,체험가능 연령,이용가능시설,이용요금,출입통로,장애인 주차 안내,휠체어,접근로,시설이용료,엘리베이터,유모차,관람석,주차요금,수유실,대중 교통,판매 품목,주요시설,시각장애 기타상세,규모,지체장애 기타 상세,입실시간,퇴실시간,객실수,예약안내 홈페이지,객실유형,부대시설,객실,점자 홍보물,주차 요금,수용인원,영업시간,이용 시기,청각 장애 기타상세,개장기간,보유장비,오디오 가이드,할인 정보,큰활자 홍보물,대여안내,매표소,보조견 동반,점자 블록,안내 요원,유도안내 설비,코스안내,예약안내,객실내 취사 여부,식음료장,사우나실 여부,홍보물,자막 비디오 가이드,강습안내,영유아가족 기타상세,체험
상의자동차야영장,"주왕산국립공원의 대표 경관인 기암(마치 깃발을 꽂아놓은 듯한 바위) 아래 위치한 상의오토캠핑장은 가족단위 캠핑 활동을 안전하고 쾌적하게 즐길 수 있도록 다양한 편의시설을 갖춘 캠핑장이다.자동차 야영지가 60동 조성되어 있으며 전기 사용이 가능하다. 부대시설로는 샤워장(온수 사용 가능), 음수대, 다목적운동장 및 야영장 무대 등이 있다.",,https://res.knps.or.kr,경상북도 청송군 주왕산면 공원길 146,"[A~B구역(자동차야영지)]
- 14:00~익일 12:00
[C구역(카라반),D구역(특화야영장 하우스형)]
- 15:00~익일 11:00",,,,가을단풍 최고의여행지^^,,,,,"[A~B구역 자동차 야영지]
- 주중 15,000원
- 주말 및 성수기 19,000원

[C구역 카라반]
- 주중 60,000원
- 주말 및 성수기 80,000원

[D구역 특화 야영장 하우스형]
- 주중 70,000원
- 주말 및 성수기 55,000원

※ 자동차 야영지 전기사용 요금 별도
※ 추가요금 1인당 10,000원 (최대 2인)
※ 주중 : 일~목요일
※ 주말 : 금~토요일, 법정 공휴일 전일
※ 성수기 매해 7월~8월 / 10월~11월",,,,,,,,,,,,,"자동차야영장, 샤워장(온수사용가능), 음수대, 다목적운동장",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
꿈애오토캠핑장,"꿈애오토캠핑장은 경북 칠곡군 왜관읍에 자리 잡고 있다. 칠곡군청을 기점으로 6㎞가량 떨어졌다. 자동차를 타고 관문로, 호국로, 봉계로를 번갈아 달리면 닿는다. 도착까지 걸리는 시간은 10분 안팎이다. 이곳은 도심과 먼 거리가 아닌데도 불구하고 사방이 숲으로 둘러싸인 자연 친화적인 캠핑장이다. 캠핑장에는 자동차 야영장 28면이 마련돼 있고 사이트 바닥 형태는 파쇄석 11면, 데크 17면이다. 트레일러, 카라반 동반 입장이 가능하고 소형견에 한 해 캠핑장 출입이 가능하다. 캠핑장 외에 게스트룸도 함께 운영 중이다. 이곳은 사계절 내내 운영한다. 캠핑장과 가까운 거리에 매원마을, 왜관교, 송정자연휴양림 등 관광자원이 풍부해 연계 여행에 나서기 좋다.",,,경상북도 칠곡군 왜관읍 봉계1길 6,"- 입실 14:00
- 퇴실 12:00",연중무휴,,,"안녕하세요? 장박도 가능한곳인가요,,,?",,있음,,,"45,000원~65,000원
※ 자세한 사항은 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가상플레이그라운드,"의성에 위치한 가상플레이그라운드는 다양한 가상현실 콘텐츠를 직접 체험할 수 있는 공간이다. 내부는 미래지향적인 분위기로 꾸며져 있으며, 가상현실 스포츠 게임, 체력 측정 프로그램, 라이브커머스 체험, 디지털 콘텐츠 체험, 드론 교육 등 흥미롭고 실감나는 프로그램이 마련되어 있다. 직접 몸을 움직이며 참여하는 방식이라 더욱 몰입감 있고 재미있다. 체험활동을 모두 무료로 즐길 수 있어 아이와 친구와 함께 방문해도 부담없이 즐길 수 있다. 주차공간도 마련되어 있어 차량을 이용한 방문도 매우 편리하다.",,,경상북도 의성군 안계면 서부로 1858 의성푸드빌리지 3층,"- 평일 10:00~19:00
- 주말 11:00~20:00
※ 동절기 시 변동될 수 있으므로 전화문의 요망","매주 월요일
※ 이 외에 쉬는날은 공지사항 참조",가능,,,,있음,전 연령,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,키즈팡팡 / 무브먼트 체크존 / 모두의 스포츠 등
상주보오토캠핑장,"상주보 오토캠핑장은 경북 상주시 도남동에 자리하고 있다. 성주시청을 기점으로 약 12㎞ 거리에 있으며 차량을 이용해 삼백로, 경천로, 용마로를 차례로 달리면 도착한다. 이동 시간은 25분 정도 걸린다. 이곳은 낙동강 인근에 조성해서 상주보 수상레저센터도 편하게 이용, 수상 체험프로그램과 함께 캠핑을 즐길 수 있다. 캠핑장에는 자갈로 이뤄진 야영장 80면을 갖췄다. 사이트 크기와 개수는 가로 10m 세로 10m 60면, 가로 4m 세로 7m 20면이다. 화로대, 전기를 이용할 수 있다. 개인 트레일러는 입장이 가능하며, 카라반의 경우 입장이 불가능하다. 관리소에서는 텐트, 릴선, 화로대를 빌려준다. 캠핑장은 사계절 내내 운영하고 예약은 온라인 실시간으로만 받는다. 반려견은 동반 입장이 불가능하다. 캠핑장 인근에는 낙동강 경천대, 도남서원, 상주 동해사 등 여행지가 많아 연계 관광이 손쉽다. 제주 흑돼지구이를 맛볼 수 있는 식당도 있다.",,http://seksj.co.kr/,경상북도 상주시 용마로 164-34 (도남동),"- 입실 14:00
- 퇴실 11:00",연중무휴,,,,,있음,,,"[성수기]
- 일반캠핑장 20,000원~25,000원
- 오토캠핑장 30,000원~25,000원
- 오리방갈로 80,000원~100,000원
[비수기]
- 일반캠핑장 15,000원~20,000원
- 오토캠핑장 25,000원~30,000원
- 오리방갈로 60,000원~80,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상주우산오토캠핑장,"상주 우산캠핑장은 경북 상주시 외서면에 자리 잡고 있다. 상주시청을 기점으로 17㎞가량 떨어졌으며 자동차를 타고 삼백로, 영남제일로, 채릉산로를 차례로 거치면 닿는다. 도착까지 걸리는 시간은 25분 안팎이다. 이곳은 폐교를 활용한 캠핑장으로 고즈넉한 시골길을 달리다 보면 나타난다. 캠핑장 곳곳에 옛 추억이 떠오르는 풍경이 눈길과 발길을 동시에 사로잡는다. 자동차 야영장 52면을 갖췄다. 바닥은 모두 자갈로 이뤄졌으며 사이트 크기는 가로 8m 세로 8m다. 개인 카라반뿐만 아니라 개인 트레일러 동반 입장도 가능하다. 평일 주말 모두 운영하며 매년 11월부터 이듬해 2월까지 3개월간 잠시 문을 닫는다. 캠핑장과 가까운 거리에 성주봉 자연휴양림과 문경시의 대표 관광지인 쌍룡계곡, 장각폭포 등이 있어 연계관광이 손쉽다. 상주시청 방면에 여러 음식점도 영업 중이다. 문을 닫은 초등학교를 리모델링한 캠핑장은 드라마 <무인도의 디바>에서 목하가 보걸의 가족과 캠핑을 즐겼던 장면의 촬영한 곳이기도 하다. 정겨운 교정에는 편의점, 샤워장 등 다양한 편의시설이 깔끔히 조성돼 있고, 모래 놀이터, 흔들 그네 등 아이들이 놀 만한 즐길 거리도 많아 가족과 함께 들르기에도 좋다.",,http://cafe.daum.net/woosancamping/,경상북도 상주시 외서면 채릉산로 752,"- 입실 14:00
- 퇴실 13:00",연중무휴,,,,,있음,,,"사이트 35,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성주자연오토캠핑장,"성주 자연 오토캠핑장은 경북 성주군 가천면에 자리 잡고 있다. 성주군청을 기점으로 약 14㎞ 거리에 있으며 자동차를 타고 참별로, 가야로, 포천 계곡로를 차례로 거치면 닿는다. 도착까지 소요 시간은 20분 남짓이다. 이곳은 산으로 둘러싸여 있고 캠핑장 앞에는 포천계곡이 흐르고 있어서 자연 친화적인 캠핑을 즐길 수 있다. 캠핑장에는 파쇄석으로 이뤄진 일반 야영장 11면을 조성해놓았다. 사이트 크기는 가로 6m 세로 8m이며, 간격이 넓고 여유롭다. 개인 트레일러와 카라반 입장이 가능하고 전기, 무선인터넷을 이용할 수 있다. 관리소에서는 릴선, 화로대, 식기, 침낭을 빌려준다. 캠핑장은 연중 운영하며 예약은 전화와 온라인 실시간으로 받는다. 반려견 동반 입장이 가능하다. 캠핑장 주변에는 가야산 야생화 식물원, 가야산 국립공원 등 유명 관광지가 가깝다. 꿩 요리를 맛볼 수 있는 음식점도 있다.",,,경상북도 성주군 가천면 동신로 803,"- 입실 14:00
- 퇴실 12:00",연중무휴,,,여기 너무 좋아요 댕댕이도 갈수있어요^^,,있음,,,"- 사이트 45,000원
- 소형방갈로 80,000원
- 대형방갈로 170,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신라고분정보센터,"금관총 내부를 볼 수 있는 금관총 전시관 옆 신라고분정보센터가 2023년 7월부터 본격 운영에 돌입하였다. 금관총 전시관과 관람 동선이 이어져 있어 같이 관람하기 좋으며, 과거의 신라와 지금의 경주가 어우러진 공간이다.
고분정보센터의 전시공간은 길이 36m, 높이 4m 규모의 디지털 실감 영상관으로 신라고분에 대한 종합적인 정보 검색, 최신형 실감영상 시청 및 고분 문화체험, 전시유물을 관람할 수 있는 공간으로 조성되었으며, 고분에서 출토된 중요 유물들을 3D로 스캔한 자료를 활용해 복원한 실감형 영상을 비롯해 신라 고분 1천 년 이야기, 천마총 발굴 50주년을 기념하는 다큐멘터리, 경주 주요 고분의 항공 뷰 등 4개의 영상 콘텐츠가 상시 상영된다.",,https://gjfmc.or.kr,경상북도 경주시 봉황로 23 (노서동),09:00~18:00,1월 1일 / 설·추석 당일,가능 (26대),,,,,,,"[개인]
- 어른 3,000원
- 청소년 / 군인 2,000원
- 어린이 1,500원
[단체(30인 이상)]
- 어른 2,000원
- 청소년 / 군인 1,500원
- 어린이 1,000원
※ 무료 : 경주시민 / 6세 이하 / 65세 이상 / 국가유공자 / 장애인 등
※ 자세한 사항은 홈페이지 참조",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,실감영상 / 고분출토 유물문양 체험 / 신라고분 엽서 체험 / 금관총 축조과정 체험 / 내가 디자인하는 금관 / 신라고분 조립 놀이방
연동어촌체험마을,"연동어촌체험휴양마을은 경주시 감포읍에 위치한 어촌마을로 포항, 울산, 대구에서 가깝다. 마을의 앞쪽은 바다에 접해 있고, 뒤쪽은 높은 산이 있어 여름에는 시원하고 겨울엔 따뜻한 지리적 특징을 갖고 있다. 경주 시내에서 해안으로 연결된 3번 국도와 해안선을 잇는 31번 국도를 이용해 접근이 용이하며 풍부하고 신선한 해산물이 있어 관광객들이 찾고 있다.
마을에서는 스노클링 체험과 어촌마을 숙박 체험을 운영하고 있다. 스노클링 체험은 7~8월 2달간 진행하며 전복을 직접 채취해 볼 수 있다. 숙박은 스테이연동이라는 마을 펜션에서 진행하며 연중 이용할 수 있고 펜션 바로 앞에 아름다운 바다가 펼쳐져 있다. 파도가 세지 않고 바로 앞바다는 수심이 깊지 않아 물놀이하기 좋다.
마을 이름의 유래와 관련해 고려 말 성씨가 다른 세 집이 이곳으로 이주해 마을을 형성했는데 그때 연못에 연꽃이 많아 연동이라고 불렸다는 이야기와 구한말 광복 직전까지 이 지역에 염전이 있어서 염동이라고 부르다가 연동이 됐다는 이야기가 있다.",,http://www.연동어촌체험마을.kr/,경상북도 경주시 감포읍 연동길 38-1,전화 문의,"매주 월요일
※ 전화문의 요망","가능
요금 (무료)",,,,,초등학생 이상,"- 기타 부대 시설 : 샤워장
- 안전시설 설비사항 : 상비약 / 소방시설 구비",,,,,,"[스노클링]
- 성인 15,000원
- 어린이 10,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,스노쿨링 / 전통대나무낚시 / 아라나비
루트7,"포항 오토캠핑장 루트 7은 경북 포항시 북구에 있다. 포항 시청을 기점으로 29㎞ 거리에 있으며 차를 타고 희망 대로, 영일만 대로, 동해 대로를 지나는데 도착까지 걸리는 시간은 40분 정도다. 이곳은 화진포해수욕장 인근에 위치했는데 폐교를 리모델링해 캠핑장으로 만들었다. 덕분에 캠핑장 이곳저곳을 살펴보면 초등학교 시절을 떠올리게 하는 볼거리가 많다. 일반 야영장 45면을 마련했다. 바닥은 파쇄석 37면과 데크 8면으로 이뤄졌다. 사이트 크기는 가로 8m 세로 6.5m다. 트레일러뿐만 아니라 카라반 동반 입장이 가능하다. 반려동물의 경우 소형견에 한 해 캠핑장에 출입할 수 있다. 단, 장박 캠퍼에게만 적용한다. 관리소에서는 릴선, 화로대, 난방 기구, 침낭 등 캠핑 장비를 빌려준다. 캠핑장 주변에 화진포해수욕장, 월포해수욕장, 보경사 군립 공원 등이 있어 연계 관광이 용이하다.",,http://cafe.naver.com/lovelycby1/,경상북도 포항시 북구 송라면 동해대로 3166,"- 입실 14:00
- 퇴실 13:00",연중무휴,,,,,있음,,,"- 캠핑 사이트 49,000원~59,000원
- 두가족 사이트 118,000원
- 방갈로 120,000원
- 펜션 350,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산내별빛오토캠핑장,"산내별빛 오토캠핑장은 경북 경주시 산내면에 자리 잡고 있다. 경주시청을 기점으로 약 46㎞ 거리에 있으며 차량을 이용해 경부고속도로, 단석로, 문복로를 차례로 달리면 도착한다. 이동시간은 50분정도 걸린다. 이곳은 도로와 인접해 접근이 쉽다. 야영장을 숲에 조성해서 자연과 함께 캠핑과 휴식을 할 수 있다. 캠핑장에는 파쇄석으로 이뤄진 일반 야영장 12면을 마련했다. 사이트 크기는 대략 가로 6~8m 세로 7~10m이다. 화로대, 전기, 무선인터넷을 이용할 수 있다. 개인 트레일러와 카라반 입장이 가능하며, 카라반의 경우 이용료는 일반 야영장과 동일하다. 관리소에서는 텐트, 릴선, 난방기구 등을 빌려준다.",,http://www.starlightcamp.kr/,경상북도 경주시 산내면 문복로 333-13,"- 입실 15:00
- 퇴실 13:00",연중무휴,,,가족과 산내별빛오토캠핑장에서 1박2일.. 자연과 어울어져 운치있고 즐거운 시간 보냈어요.,,있음,,,"[성수기]
- A~B 구역·텐트광장 50,000원
- 방갈로 90,000원
[비수기]
- A~B 구역·텐트광장 50,000원
- 방갈로 70,000원
※ 성수기는 때에 따라 추가 요금 적용될 수 있음
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
땅끝황토펜션오토캠핑장,"땅끝황토펜션&오토캠핑은 경북 포항시 남구에 있다. 포항시청을 기점으로 28㎞ 거리로 새천년대로, 영일만대로, 동해안로를 번갈아 달리면 도착한다. 소요시간은 50분 안팎이다. 이곳은 호미곶해맞이광장과 구룡포항 사이에 위치하고 있다. 이 덕택에 캠핑장에서 동해안의 수려한 풍경을 조망하며 캠핑을 만끽할 수 있다. 캠핑장에는 일반 야영장 33면이 있는데 파쇄석 바닥 13면, 데크바닥 20면이다. 사이트 크기는 파쇄석 가로 7m 세로 7m, 데크 가로 4m 세로 6m이다. 개인 트레일러와 개인 카라반 동반 입장이 가능하다. 단, 카라반의 경우 성수기에는 출입할 수 없다. 캠핑장 인근에 구룡포항, 호미곶해맞이광장, 삼정해변 등이 있어 연계관광이 용이하다.",,http://www.pensioncamp.com/,경상북도 포항시 남구 구룡포읍 땅끝마을길 72,"- 입실 15:00
- 퇴실 11:00",연중무휴,,,,,있음,,,"- 펜션 130,000원
- 신관 170,000원
- 데크 55,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
봉좌마을캠핑장,"농협회사법인 봉좌마을 캠핑장은 경북 포항시 북구에 자리 잡고 있다. 포항시청을 기점으로 약 20㎞ 거리에 있으며 차량을 이용해 희망대로, 익산포항고속도로, 새마을로를 차례로 거치면 도착하는데 소요시간은 20분가량이다. 이곳은 농촌마을에 조성한 캠핑장으로 뒤로는 용한천이 흐르고 주변은 산으로 둘러싸여 있다. 캠핑장에는 파쇄석으로 이뤄진 일반 야영장 46면과 글램핑 8동을 배치했다. 사이트 크기는 대략 가로 7m, 세로 7m로 간격이 넓고 여유롭다. 개인 트레일러와 카라반 입장이 가능하고 화로대, 전기, 무선인터넷을 이용할 수 있다. 캠핑장은 연중 쉬지 않고 운영하며 예약은 전화, 현장접수, 온라인 실시간으로 받는다. 반려견은 동반 입장이 불가하다. 캠핑장 주변에는 경주 정혜사지 십삼 층 석탑, 영일기천고택 등 관광지가 즐비하다. 아귀탕, 아귀찜을 맛볼 수 있는 음식점도 있다.",,https://phbj.cafe24.com/,경상북도 포항시 북구 기계면 봉계길 46,"[캠핑]
- 입실 13:00
- 퇴실 12:00
[펜션]
- 입실 15:00
- 퇴실 11:00",연중무휴,,,,,있음,,,"[성수기]
- 캠핑 사이트 70,000원
- 모던펜션 100,000원~150,000원
- 독체펜션 400,000원
- 한옥고택 300,000원
[비수기]
- 캠핑사이트 40,000원~70,000원
- 모던펜션 80,000원~150,000원
- 독채펜션 350,000원~400,000원
- 한옥고택 250,000원~300,000원
※ 자세한 사항은 홈페이지 참조 및 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
